seg0,"(37.3849472, -122.0824906)","(37.3852038, -122.0830065)"
seg1,"(37.3899826, -122.0771586)","(37.3897399, -122.0773137)"
seg2,"(37.3853687, -122.0813787)","(37.3847858, -122.0817509)"
seg3,"(37.3921461, -122.0827778)","(37.3921461, -122.0827778)"
seg4,"(37.3870352, -122.0831241)","(37.3866853, -122.0831856)"
seg5,"(37.3887147, -122.0779602)","(37.3891492, -122.079054)"
seg6,"(37.3891579, -122.0790763)","(37.3895884, -122.0801835)"
seg7,"(37.3900639, -122.081386)","(37.39046, -122.0823957)"
seg8,"(37.394179, -122.0838989)","(37.3942206, -122.0840037)"
seg9,"(37.3942497, -122.0800627)","(37.3929983, -122.0808331)"
seg10,"(37.39278290000001, -122.0803525)","(37.3928446, -122.0805089)"
seg11,"(37.3936607, -122.0788709)","(37.3926248, -122.079563)"
seg12,"(37.39340809999999, -122.0781667)","(37.3935622, -122.0783677)"
seg13,"(37.39598950000001, -122.0804283)","(37.3953772, -122.080779)"
seg14,"(37.4086241, -122.0573191)","(37.4086241, -122.0573191)"
seg15,"(37.389733, -122.0773179)","(37.3892621, -122.0775978)"
seg16,"(37.3866163, -122.0822376)","(37.3859875, -122.0826299)"
seg17,"(37.3866207, -122.0822683)","(37.3869695, -122.0830149)"
seg18,"(37.3897852, -122.0869812)","(37.3892224, -122.0872833)"
seg19,"(37.3878866, -122.0814593)","(37.3872417, -122.0818518)"
seg20,"(37.3891414, -122.0790521)","(37.3872969, -122.080205)"
seg21,"(37.3916942, -122.0816773)","(37.3921286, -122.0827746)"
seg22,"(37.3911075, -122.0804289)","(37.3912182, -122.080461)"
seg23,"(37.3904633, -122.0796368)","(37.3896083, -122.0801648)"
seg24,"(37.3904139, -122.0783051)","(37.3908413, -122.0794073)"
seg25,"(37.3899828, -122.0771927)","(37.3904052, -122.0782828)"
seg26,"(37.39195369999999, -122.0742861)","(37.3906912, -122.0749462)"
seg27,"(37.3921033, -122.0786216)","(37.3908649, -122.0793861)"
seg28,"(37.3951246, -122.0823158)","(37.3938806, -122.083065)"
seg29,"(37.3939106, -122.0792349)","(37.3942458, -122.0800779)"
seg30,"(37.393294, -122.078132)","(37.3922228, -122.0785484)"
seg31,"(37.3952558, -122.0792682)","(37.3955054, -122.0793043)"
seg32,"(37.39507710000001, -122.0809531)","(37.394708, -122.0811672)"
seg33,"(37.3934162, -122.0819677)","(37.392297, -122.0826631)"
seg34,"(37.3929788, -122.0808452)","(37.3918585, -122.0815375)"
seg35,"(37.38756, -122.0877776)","(37.3875923, -122.0878444)"
seg36,"(37.3908849, -122.072143)","(37.38953410000001, -122.0730136)"
seg37,"(37.386049, -122.0811124)","(37.38661099999999, -122.0822483)"
seg38,"(37.4086241, -122.0573191)","(37.4086241, -122.0573191)"
seg39,"(37.3915594, -122.0856269)","(37.3903457, -122.0864754)"
seg40,"(37.3914897, -122.0811764)","(37.3916853, -122.0816557)"
seg41,"(37.390847, -122.0794223)","(37.3909907, -122.0798078)"
seg42,"(37.3929886, -122.0808735)","(37.3934173, -122.0819736)"
seg43,"(37.39321350000001, -122.0765372)","(37.3929438, -122.0767128)"
seg44,"(37.3931381, -122.0743152)","(37.39313509999999, -122.0743074)"
seg45,"(37.3933951, -122.07642)","(37.3932181, -122.0765342)"
seg46,"(37.3944812, -122.0792121)","(37.3944812, -122.0792121)"
